is_race_on,timestamp_ms,engine_max_rpm,engine_idle_rpm,current_engine_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,yaw,pitch,roll,normalized_suspension_travel_front_left,normalized_suspension_travel_front_right,normalized_suspension_travel_rear_left,normalized_suspension_travel_rear_right,tire_slip_ratio_front_left,tire_slip_ratio_front_right,tire_slip_ratio_rear_left,tire_slip_ratio_rear_right,wheel_rotation_speed_front_left,wheel_rotation_speed_front_right,wheel_rotation_speed_rear_left,wheel_rotation_speed_rear_right,wheel_on_rumble_strip_front_left,wheel_on_rumble_strip_front_right,wheel_on_rumble_strip_rear_left,wheel_on_rumble_strip_rear_right,wheel_in_puddle_front_left,wheel_in_puddle_front_right,wheel_in_puddle_rear_left,wheel_in_puddle_rear_right,surface_rumble_front_left,surface_rumble_front_right,surface_rumble_rear_left,surface_rumble_rear_right,tire_slip_angle_front_left,tire_slip_angle_front_right,tire_slip_angle_rear_left,tire_slip_angle_rear_right,tire_combined_slip_front_left,tire_combined_slip_front_right,tire_combined_slip_rear_left,tire_combined_slip_rear_right,suspension_travel_meters_front_left,suspension_travel_meters_front_right,suspension_travel_meters_rear_left,suspension_travel_meters_rear_right,car_ordinal,car_class,car_performance_index,drivetrain_type,num_cylinders,car_group,smashable_vel_diff,smashable_mass,position_x,position_y,position_z,speed,power,torque,tire_temp_front_left,tire_temp_front_right,tire_temp_rear_left,tire_temp_rear_right,boost,fuel,distance_traveled,best_lap,last_lap,current_lap,current_race_time,lap_number,race_position,accel,brake,clutch,hand_brake,gear,steer,normalized_driving_line,normalized_ai_brake_difference
1,123456,8000.0,900.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399999976158142,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,2027,5,800,1,8,0,0.0,0.0,0.0,0.0,0.0,30.0,300000.0,450.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,200,0,0,0,4,-30,0,0
1,123456,8000.0,900.0,4080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,2027,5,800,1,8,0,0.0,0.0,0.0,0.0,0.0,31.996667861938477,300000.0,450.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,200,0,0,0,4,-30,0,0
1,123456,8000.0,900.0,4160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,2027,5,800,1,8,0,0.0,0.0,0.0,0.0,0.0,33.973384857177734,300000.0,450.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,200,0,0,0,4,-30,0,0
1,123456,8000.0,900.0,4240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399999976158142,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,2027,5,800,1,8,0,0.0,0.0,0.0,0.0,0.0,35.910404205322266,300000.0,450.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,200,0,0,0,4,-30,0,0
1,123456,8000.0,900.0,4320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,2027,5,800,1,8,0,0.0,0.0,0.0,0.0,0.0,37.788368225097656,300000.0,450.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,200,0,0,0,4,-30,0,0
1,123456,8000.0,900.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,2027,5,800,1,8,0,0.0,0.0,0.0,0.0,0.0,39.5885124206543,300000.0,450.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,200,0,0,0,4,-30,0,0
1,123456,8000.0,900.0,4480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399999976158142,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,2027,5,800,1,8,0,0.0,0.0,0.0,0.0,0.0,41.292850494384766,300000.0,450.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,0,200,0,0,0,4,-30,0,0
1,123456,8000.0,900.0,4560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,2027,5,800,1,8,0,0.0,0.0,0.0,0.0,0.0,42.88435363769531,300000.0,450.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,200,0,0,0,4,-30,0,0
1,123456,8000.0,900.0,4640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,2027,5,800,1,8,0,0.0,0.0,0.0,0.0,0.0,44.34712219238281,300000.0,450.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,200,0,0,0,4,-30,0,0
1,123456,8000.0,900.0,4720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399999976158142,0.0,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,2027,5,800,1,8,0,0.0,0.0,0.0,0.0,0.0,45.66653823852539,300000.0,450.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,0,200,0,0,0,4,-30,0,0
